userid,version,total_rounds,one_d_retention,seven_d_retention
2846569,Gate 40,22,0,0
2846679,Gate 30,9,0,0
2847054,Gate 30,3,0,0
2847140,Gate 30,196,1,1
2847326,Gate 30,1,0,0
2847338,Gate 40,5,0,0
2847556,Gate 40,223,1,1
2847633,Gate 30,112,0,0
2847701,Gate 40,10,0,0
2847857,Gate 40,7,1,0
2848084,Gate 40,94,1,0
2848103,Gate 30,1,0,0
2848231,Gate 30,1,0,0
2848239,Gate 40,44,0,0
2848362,Gate 30,0,0,0
2848772,Gate 30,67,1,1
2848854,Gate 40,52,1,0
2848957,Gate 40,2,0,0
2849002,Gate 30,19,0,0
2849017,Gate 40,34,0,0
2849039,Gate 30,64,1,1
2849118,Gate 30,40,1,0
2849218,Gate 30,24,1,0
2849235,Gate 40,0,1,1
2849375,Gate 30,41,1,1
2849463,Gate 40,183,1,1
2849656,Gate 30,13,0,0
2849815,Gate 40,6,0,0
2849827,Gate 40,7,0,0
2849902,Gate 30,3,0,0
2850006,Gate 30,87,1,0
2850283,Gate 30,4,0,0
2850311,Gate 40,15,1,0
2850498,Gate 40,75,1,0
2850549,Gate 30,6,1,0
2851020,Gate 40,7,0,0
2851058,Gate 40,33,1,0
2851086,Gate 40,2,0,0
2851199,Gate 40,0,0,0
2851265,Gate 40,0,0,0
2851624,Gate 40,12,0,0
2851774,Gate 30,80,1,1
2851807,Gate 40,34,1,0
2851999,Gate 30,4,0,1
2852014,Gate 40,1,0,0
2852143,Gate 30,15,0,0
2852242,Gate 30,0,0,0
2852335,Gate 40,1,0,0
2852369,Gate 40,3,0,0
2852433,Gate 40,2,0,0
2852675,Gate 40,3,0,0
2852871,Gate 40,0,0,0
2852900,Gate 30,6,0,0
2852901,Gate 40,2,0,0
2852925,Gate 40,33,1,0
2853236,Gate 40,5,0,0
2853582,Gate 30,10,1,0
2853673,Gate 40,12,0,0
2853995,Gate 40,4,0,0
2854126,Gate 40,20,1,1
2854174,Gate 40,3,0,0
2854372,Gate 30,4,0,0
2854400,Gate 30,118,1,1
2854445,Gate 30,577,1,1
2854469,Gate 40,67,1,0
2854591,Gate 30,18,0,0
2854714,Gate 30,152,1,1
2854928,Gate 30,48,1,0
2855183,Gate 30,99,1,1
2855262,Gate 30,125,1,1
2855369,Gate 30,19,0,0
2855411,Gate 40,3,0,0
2855682,Gate 30,8,1,0
2855704,Gate 30,3,0,0
2855809,Gate 30,11,0,0
2855880,Gate 40,7,0,0
2855974,Gate 40,3,0,0
2856137,Gate 40,3,0,0
2856146,Gate 30,197,1,1
2856183,Gate 30,5,0,0
2856211,Gate 40,2,0,0
2856311,Gate 40,70,1,0
2856459,Gate 40,9,0,0
2856550,Gate 30,3,0,0
2856604,Gate 40,11,1,0
2856820,Gate 30,18,0,0
2856998,Gate 40,1,0,1
2857194,Gate 30,29,0,0
2857290,Gate 40,18,0,0
2857493,Gate 40,111,1,1
2857622,Gate 30,26,1,0
2857627,Gate 30,18,1,0
2857848,Gate 30,5,1,0
2858249,Gate 30,11,0,0
2858617,Gate 30,43,1,1
2858662,Gate 30,601,1,1
2858705,Gate 30,114,1,1
2858767,Gate 40,2,0,0
2858840,Gate 40,10,0,0
2859358,Gate 40,1,0,0
2859406,Gate 40,41,1,0
2859502,Gate 40,32,0,0
2859550,Gate 40,10,0,0
2859568,Gate 40,19,0,0
2859664,Gate 30,2,0,0
2859777,Gate 40,51,1,1
2859910,Gate 30,1,0,0
2859968,Gate 40,100,1,1
2860101,Gate 40,150,1,1
2860193,Gate 40,301,1,1
2860270,Gate 40,3,0,0
2860393,Gate 40,19,0,0
2860437,Gate 40,2,0,0
2860563,Gate 30,19,0,0
2860642,Gate 40,0,0,0
2860698,Gate 40,92,1,0
2860746,Gate 30,13,0,0
2860790,Gate 40,2,0,0
2860804,Gate 30,1,0,0
2860916,Gate 30,11,0,0
2860991,Gate 40,6,0,0
2861001,Gate 40,4,0,0
2861274,Gate 30,12,1,0
2861386,Gate 40,6,1,0
2861454,Gate 40,47,1,1
2861733,Gate 40,66,1,0
2861741,Gate 30,60,1,0
2861753,Gate 40,8,1,0
2861865,Gate 40,1,0,0
2861986,Gate 30,213,1,1
2862071,Gate 30,0,0,0
2862093,Gate 30,47,0,0
2862227,Gate 30,26,1,0
2862291,Gate 30,5,0,0
2862471,Gate 30,77,1,1
2862594,Gate 40,2,0,0
2862619,Gate 30,41,1,0
2862817,Gate 30,16,1,1
2863043,Gate 40,1,0,0
2863099,Gate 30,30,1,0
2863136,Gate 30,43,0,0
2863163,Gate 30,22,1,0
2863279,Gate 40,395,1,1
2863394,Gate 40,6,0,0
2863572,Gate 40,66,1,0
2863646,Gate 30,143,0,1
2863693,Gate 30,2,0,0
2863701,Gate 40,5,0,0
2863703,Gate 30,77,1,0
2863812,Gate 30,17,1,0
2863901,Gate 40,21,1,0
2864097,Gate 40,276,1,1
2864440,Gate 40,1,0,0
2864452,Gate 40,9,0,0
2864460,Gate 30,14,0,0
2864826,Gate 40,14,1,0
2864894,Gate 30,5,0,0
2864991,Gate 30,14,1,0
2865339,Gate 40,38,1,0
2865398,Gate 40,117,1,1
2865438,Gate 30,2,0,0
2865446,Gate 40,252,1,1
2865890,Gate 40,3,0,0
2866210,Gate 40,17,0,0
2866316,Gate 40,86,1,1
2866405,Gate 40,6,0,0
2866546,Gate 40,1,0,0
2866683,Gate 30,293,1,1
2866770,Gate 30,108,1,0
2866905,Gate 30,8,0,0
2866994,Gate 30,88,1,1
2867197,Gate 30,22,1,0
2867331,Gate 30,7,0,0
2867342,Gate 30,14,1,0
2867357,Gate 30,1,0,0
2867781,Gate 40,7,0,0
2868041,Gate 40,49,1,0
2868256,Gate 30,43,1,0
2868279,Gate 40,76,1,1
2868480,Gate 40,53,1,1
2868542,Gate 40,20,0,0
2868549,Gate 40,14,0,0
2868613,Gate 30,0,0,0
2868644,Gate 30,4,0,0
2868755,Gate 40,28,1,0
2868864,Gate 30,1,0,0
2868929,Gate 30,1,0,0
2868969,Gate 30,12,0,0
2869026,Gate 30,128,1,0
2869109,Gate 40,70,1,0
2869210,Gate 40,12,0,0
2869249,Gate 30,68,1,0
2869276,Gate 40,30,0,0
2869287,Gate 40,33,0,1
2869376,Gate 40,13,0,0
2869475,Gate 30,146,1,1
2869568,Gate 30,43,1,1
2869591,Gate 30,10,0,0
2869629,Gate 40,15,1,0
2869671,Gate 30,13,0,0
2869818,Gate 40,8,0,0
2869879,Gate 30,6,0,0
2869956,Gate 40,14,0,0
2870127,Gate 30,38,1,0
2870179,Gate 30,6,0,0
2870241,Gate 40,16,0,0
2870382,Gate 30,27,0,0
2870434,Gate 30,13,0,0
2870549,Gate 40,103,1,0
2870656,Gate 30,42,0,0
2870785,Gate 40,22,1,0
2870834,Gate 40,40,1,0
2870862,Gate 40,124,0,1
2870961,Gate 40,42,1,1
2871041,Gate 40,10,0,0
2871423,Gate 30,14,0,0
2871431,Gate 40,20,0,0
2871490,Gate 30,104,1,1
2871531,Gate 30,49,1,0
2871616,Gate 40,84,1,0
2871673,Gate 40,21,0,0
2871786,Gate 30,33,1,0
2871849,Gate 30,4,0,0
2871852,Gate 40,2,0,0
2872220,Gate 40,10,1,0
2872243,Gate 40,5,0,0
2872261,Gate 40,11,0,0
2872830,Gate 40,3,0,0
2872968,Gate 30,5,0,0
2873105,Gate 30,3,0,0
2873118,Gate 40,86,1,1
2873125,Gate 40,21,0,0
2873330,Gate 40,107,1,1
2873333,Gate 30,14,0,0
2873339,Gate 30,10,1,1
2873434,Gate 30,7,0,0
2873441,Gate 30,194,1,1
2873595,Gate 30,76,0,1
2873616,Gate 40,11,1,0
2873626,Gate 30,21,0,0
2873935,Gate 40,22,1,0
2874144,Gate 40,10,0,0
2874249,Gate 40,4,0,0
2874268,Gate 40,12,0,0
2874285,Gate 30,14,1,0
2874529,Gate 30,63,1,0
2874625,Gate 30,16,1,0
2874673,Gate 40,24,1,0
2874760,Gate 40,4,0,0
2874836,Gate 30,7,0,0
2874845,Gate 30,24,1,0
2875016,Gate 30,89,0,0
2875198,Gate 40,21,1,0
2875253,Gate 30,17,0,0
2875310,Gate 30,159,1,1
2875312,Gate 30,69,1,0
2875476,Gate 30,73,1,0
2875563,Gate 30,14,1,0
2875597,Gate 30,198,1,1
2875644,Gate 30,13,0,0
2875861,Gate 40,23,1,0
2875889,Gate 30,72,1,0
2875941,Gate 30,11,0,0
2875970,Gate 40,6,0,0
2876200,Gate 30,1,0,0
2876251,Gate 30,1,0,0
2876552,Gate 30,4,0,0
2876660,Gate 30,23,1,0
2876669,Gate 40,161,1,0
2876716,Gate 30,98,1,0
2876752,Gate 30,44,1,0
2876863,Gate 40,100,1,1
2877109,Gate 30,6,0,0
2877134,Gate 40,31,1,0
2877439,Gate 30,86,1,0
2877638,Gate 30,344,1,0
2877871,Gate 40,33,0,0
2877926,Gate 40,97,1,0
2878028,Gate 30,2,0,0
2878306,Gate 40,8,0,0
2878313,Gate 40,32,0,0
2878409,Gate 40,23,0,0
2878552,Gate 30,14,0,0
2878577,Gate 30,34,0,0
2878584,Gate 40,102,1,0
2878760,Gate 40,68,1,0
2878811,Gate 30,25,1,0
2879104,Gate 40,10,0,0
2879194,Gate 30,20,1,0
2879198,Gate 30,1,0,0
2879213,Gate 30,10,0,0
2879376,Gate 40,0,0,0
2879579,Gate 30,39,1,1
2879626,Gate 30,0,0,0
2879748,Gate 30,4,0,0
2879892,Gate 40,9,0,0
2879948,Gate 30,8,1,0
2879967,Gate 30,13,1,0
2879995,Gate 30,12,1,0
2880189,Gate 30,108,0,0
2880393,Gate 30,116,1,1
2880433,Gate 40,79,1,1
2880558,Gate 30,44,1,0
2880608,Gate 40,29,0,0
2880766,Gate 40,1,0,0
2881206,Gate 40,23,1,0
2881240,Gate 30,7,0,0
2881321,Gate 40,3,0,0
2881324,Gate 40,50,1,0
2881431,Gate 40,1,0,0
2881615,Gate 30,18,1,0
2881655,Gate 30,18,1,0
2881683,Gate 30,4,0,0
2881775,Gate 40,165,1,0
2881928,Gate 40,42,1,1
2881969,Gate 30,19,0,0
2882160,Gate 40,11,1,0
2882176,Gate 40,3,0,0
2882287,Gate 30,132,1,1
2882321,Gate 40,13,1,0
2882435,Gate 30,36,1,0
2882442,Gate 30,7,1,0
2882602,Gate 30,19,1,0
2882631,Gate 40,1,0,0
2882670,Gate 40,14,0,0
2882700,Gate 30,4,0,0
2882841,Gate 40,8,0,0
2882864,Gate 30,111,1,1
2883049,Gate 40,126,1,0
2883118,Gate 40,68,1,0
2883450,Gate 30,29,1,1
2883691,Gate 40,173,1,1
2884336,Gate 40,2,0,0
2884354,Gate 30,14,0,0
2884359,Gate 30,50,1,0
2884442,Gate 30,2,0,0
2884532,Gate 40,31,1,0
2884820,Gate 40,20,1,0
2884939,Gate 30,57,1,0
2885011,Gate 40,36,0,0
2885068,Gate 40,9,1,0
2885096,Gate 40,39,0,0
2885401,Gate 30,2,0,0
2885501,Gate 40,13,0,0
2885570,Gate 30,6,0,0
2885710,Gate 40,11,0,1
2885743,Gate 30,41,1,1
2885842,Gate 40,511,1,1
2885917,Gate 40,22,0,1
2886302,Gate 40,296,1,1
2886451,Gate 30,81,1,0
2886458,Gate 40,10,0,0
2886638,Gate 30,50,1,1
2886661,Gate 30,21,1,0
2886819,Gate 40,163,1,1
2886930,Gate 30,7,0,0
2886963,Gate 40,17,0,0
2887036,Gate 30,2,1,0
2887124,Gate 40,29,0,0
2887129,Gate 30,105,1,0
2887152,Gate 30,11,0,0
2887176,Gate 40,4,0,0
2887193,Gate 30,81,1,1
2887802,Gate 40,5,1,0
2888169,Gate 40,1,0,0
2888189,Gate 30,2,0,0
2888244,Gate 30,26,0,1
2888584,Gate 30,8,0,0
2888585,Gate 30,1,0,0
2888680,Gate 40,2,0,0
2888781,Gate 30,39,1,0
2888784,Gate 40,5,0,0
2888920,Gate 40,87,0,1
2889231,Gate 30,45,1,0
2889285,Gate 30,2,0,0
2889389,Gate 30,3,0,0
2889718,Gate 40,6,0,0
2889921,Gate 40,74,0,1
2889989,Gate 40,47,1,0
2890225,Gate 40,5,1,0
2890348,Gate 30,34,0,0
2890360,Gate 40,1,0,0
2890661,Gate 40,30,1,0
2890775,Gate 40,28,1,0
2890871,Gate 30,6,1,0
2890919,Gate 40,201,1,1
2890957,Gate 30,17,0,0
2891227,Gate 30,67,0,0
2891277,Gate 30,35,1,0
2891294,Gate 40,3,1,0
2891312,Gate 30,20,0,0
2891329,Gate 40,1,0,0
2891485,Gate 40,109,1,1
2891529,Gate 40,16,1,0
2891664,Gate 30,2,0,0
2891674,Gate 30,0,0,0
2892017,Gate 30,10,0,0
2892257,Gate 40,4,0,0
2892267,Gate 30,3,0,0
2892369,Gate 40,3,0,0
2892482,Gate 30,136,1,0
2892506,Gate 30,6,0,0
2892536,Gate 30,8,0,0
2892593,Gate 30,4,0,0
2892684,Gate 40,0,0,0
2892819,Gate 40,93,1,1
2892872,Gate 30,6,0,0
2893127,Gate 30,161,1,0
2893207,Gate 30,323,1,1
2893249,Gate 30,5,0,0
2893340,Gate 30,12,0,0
2893342,Gate 40,4,0,0
2893430,Gate 40,7,0,0
2893550,Gate 30,2,0,0
2894045,Gate 40,4,0,0
2894227,Gate 40,22,1,0
2894632,Gate 30,9,0,0
2894926,Gate 40,1,0,0
2894967,Gate 40,14,0,0
2894996,Gate 40,19,0,1
2895087,Gate 30,42,0,0
2895112,Gate 30,6,0,0
2895236,Gate 40,21,0,0
2895329,Gate 30,124,1,0
2895483,Gate 40,7,0,0
2895589,Gate 40,1,0,0
2895731,Gate 40,61,1,1
2895878,Gate 30,96,1,1
2895881,Gate 30,17,0,0
2896006,Gate 30,25,1,0
2896240,Gate 30,21,1,1
2896266,Gate 30,4,0,0
2896599,Gate 40,42,1,0
2896600,Gate 30,2,1,0
2896737,Gate 30,33,0,0
2896775,Gate 40,18,1,0
2896776,Gate 40,18,0,0
2896890,Gate 30,40,1,0
2897068,Gate 40,47,1,0
2897488,Gate 40,1,0,0
2897550,Gate 40,25,1,0
2897865,Gate 30,15,1,0
2897931,Gate 30,86,1,0
2898244,Gate 40,123,1,1
2898254,Gate 30,517,1,1
2898633,Gate 30,41,1,0
2898686,Gate 30,29,0,0
2898777,Gate 40,239,1,1
2898893,Gate 40,1,0,0
2899054,Gate 30,105,1,1
2899509,Gate 30,26,1,0
2900214,Gate 30,29,0,1
2900239,Gate 30,48,0,1
2900432,Gate 30,19,0,0
2900908,Gate 30,11,0,0
2900949,Gate 40,294,1,0
2901030,Gate 40,12,0,0
2901351,Gate 30,2,0,0
2901373,Gate 30,13,0,0
2901718,Gate 40,52,0,1
2901724,Gate 30,17,1,0
2901742,Gate 30,114,1,0
2901902,Gate 30,190,1,1
2901903,Gate 40,6,0,0
2901955,Gate 30,5,1,0
2902050,Gate 30,176,1,1
2902136,Gate 40,29,1,0
2902157,Gate 30,39,1,0
2902307,Gate 40,19,0,0
2902401,Gate 30,5,0,0
2902457,Gate 40,9,0,0
2902613,Gate 40,155,0,1
2902676,Gate 30,31,1,0
2902806,Gate 40,3,0,0
2902917,Gate 40,3,0,0
2902988,Gate 40,85,1,0
2903013,Gate 40,1,0,0
2903070,Gate 30,37,0,0
2903109,Gate 30,6,0,0
2903170,Gate 40,1,0,0
2903175,Gate 40,59,1,0
2903246,Gate 30,11,1,1
2903280,Gate 30,43,1,0
2904026,Gate 30,49,0,1
2904100,Gate 30,37,0,0
2904641,Gate 30,4,0,0
2904772,Gate 30,25,1,0
2904836,Gate 40,2,0,0
2905359,Gate 30,17,0,0
2905509,Gate 30,7,0,0
2905609,Gate 30,21,0,0
2905658,Gate 40,128,1,0
2905819,Gate 30,59,0,1
2906034,Gate 30,0,0,0
2906233,Gate 40,20,0,0
2906275,Gate 30,52,1,1
2906277,Gate 30,57,1,1
2906338,Gate 30,46,0,0
2906441,Gate 30,270,1,1
2906479,Gate 40,11,1,1
2906525,Gate 30,77,0,0
2906884,Gate 40,132,1,0
2906987,Gate 30,1,0,0
2907128,Gate 40,15,0,0
2907241,Gate 40,50,1,0
2907308,Gate 40,0,0,0
2907433,Gate 40,220,0,1
2907547,Gate 40,8,0,0
2907556,Gate 40,4,0,0
2907566,Gate 30,35,1,1
2907858,Gate 40,1,0,0
2907882,Gate 30,91,1,1
2908077,Gate 30,5,1,0
2908090,Gate 30,16,1,0
2908154,Gate 30,14,0,0
2908277,Gate 30,179,1,1
2908382,Gate 30,34,0,1
2908417,Gate 30,14,1,0
2908494,Gate 40,1,0,0
2908587,Gate 30,125,1,0
2908636,Gate 40,11,0,0
2908733,Gate 40,11,1,0
2908741,Gate 30,26,1,1
2908916,Gate 40,45,1,0
2908976,Gate 40,2,0,0
2909011,Gate 30,78,1,1
2909028,Gate 30,5,0,0
2909056,Gate 30,1,0,0
2909080,Gate 40,4,0,0
2909519,Gate 30,12,0,0
2909617,Gate 40,7,0,0
2909682,Gate 30,71,0,1
2909703,Gate 40,21,1,0
2909779,Gate 30,6,0,0
2909835,Gate 40,5,0,0
2909944,Gate 40,2,0,0
2910336,Gate 30,209,1,1
2910523,Gate 40,236,1,1
2910671,Gate 30,25,1,0
2910672,Gate 30,34,1,0
2910673,Gate 40,6,0,0
2910766,Gate 40,33,1,0
2910813,Gate 30,6,1,0
2910850,Gate 30,4,1,0
2911012,Gate 30,16,1,0
2911015,Gate 30,20,1,0
2911030,Gate 30,13,1,0
2911173,Gate 30,4,0,0
2911257,Gate 40,4,0,0
2911498,Gate 40,2,0,0
2911620,Gate 30,28,1,0
2911695,Gate 40,22,1,0
2911910,Gate 40,8,0,0
2911917,Gate 40,149,1,1
2911949,Gate 40,9,1,0
2912096,Gate 30,2,0,0
2912209,Gate 30,4,0,0
2912320,Gate 30,87,1,0
2912391,Gate 30,70,1,1
2912526,Gate 30,11,0,0
2912542,Gate 30,234,1,1
2913185,Gate 40,59,1,0
2913190,Gate 40,272,1,1
2913222,Gate 30,11,0,0
2913258,Gate 30,33,0,0
2913315,Gate 40,1,0,0
2913359,Gate 30,47,0,0
2913381,Gate 30,98,0,0
2913402,Gate 40,102,1,1
2913633,Gate 30,196,1,1
2913638,Gate 40,1,0,0
2913683,Gate 30,219,1,1
2914057,Gate 40,12,0,0
2914091,Gate 40,9,0,0
2914172,Gate 40,61,1,0
2914219,Gate 30,910,1,1
2914347,Gate 30,1,0,0
2914429,Gate 40,1,0,0
2914430,Gate 30,2,1,0
2914581,Gate 40,184,1,1
2914632,Gate 30,32,1,0
2914659,Gate 30,3,0,0
2914669,Gate 30,21,0,0
2914679,Gate 30,33,0,0
2914704,Gate 30,1245,1,1
2914819,Gate 30,35,1,0
2914876,Gate 40,0,0,0
2915044,Gate 30,5,0,0
2915135,Gate 40,6,1,0
2915220,Gate 40,7,0,0
2915232,Gate 30,45,1,0
2915444,Gate 30,29,1,0
2915721,Gate 30,10,0,0
2915789,Gate 30,40,1,0
2915828,Gate 30,83,1,0
2915921,Gate 40,1,0,0
2915994,Gate 30,208,1,0
2916052,Gate 30,20,1,0
2916090,Gate 30,19,0,0
2916256,Gate 30,1,0,0
2916417,Gate 40,77,0,0
2916441,Gate 40,2,0,0
2916478,Gate 30,2,0,0
2916990,Gate 30,70,1,0
2917032,Gate 30,12,0,0
2917090,Gate 30,1,0,0
2917191,Gate 40,27,1,0
2917371,Gate 40,44,0,0
2917463,Gate 40,9,0,0
2917590,Gate 40,119,1,0
2917656,Gate 40,30,1,0
2918003,Gate 40,77,1,1
2918018,Gate 40,36,0,0
2918053,Gate 40,34,1,0
2918061,Gate 30,94,1,1
2918073,Gate 30,96,1,0
2918077,Gate 40,14,0,0
2918086,Gate 40,39,0,0
2918104,Gate 40,62,0,0
2918142,Gate 40,0,0,0
2918482,Gate 30,0,0,0
2918592,Gate 40,28,1,0
2918733,Gate 30,215,1,1
2918899,Gate 40,2,0,0
2919033,Gate 40,6,0,0
2919048,Gate 30,6,0,0
2919201,Gate 30,52,1,0
2919315,Gate 40,23,0,0
2919350,Gate 30,1,0,0
2919365,Gate 30,71,1,1
2919475,Gate 40,41,0,0
2919489,Gate 30,164,1,0
2919566,Gate 30,25,0,0
2919594,Gate 30,13,0,0
2919663,Gate 30,17,1,0
2919876,Gate 40,1,0,0
2919978,Gate 30,76,1,0
2920009,Gate 40,1,0,0
2920087,Gate 30,21,1,0
2920168,Gate 30,164,1,1
2920501,Gate 30,16,0,0
2920665,Gate 30,0,0,0
2920672,Gate 30,4,0,0
2920704,Gate 40,21,1,0
2920762,Gate 40,3,0,0
2921123,Gate 30,110,1,0
2921494,Gate 40,50,1,0
2921507,Gate 30,21,0,0
2921551,Gate 30,7,0,0
2921598,Gate 30,11,1,0
2921697,Gate 40,16,1,0
2921698,Gate 40,49,1,0
2922207,Gate 30,58,1,0
2922424,Gate 30,1,0,0
2922425,Gate 30,76,1,1
2922473,Gate 40,80,1,0
2922525,Gate 40,5,0,0
2922858,Gate 30,1300,1,1
2922939,Gate 30,16,1,0
2923024,Gate 40,0,0,0
2923100,Gate 40,4,0,0
2923150,Gate 40,15,0,0
2923224,Gate 40,1,0,0
2923376,Gate 30,0,0,0
2923561,Gate 40,236,1,1
2923616,Gate 40,81,0,1
2923671,Gate 30,33,1,0
2923754,Gate 30,29,1,0
2923862,Gate 30,47,1,0
2924001,Gate 40,29,1,0
2924074,Gate 30,23,0,0
2924102,Gate 40,3,0,0
2924220,Gate 40,13,0,1
2924234,Gate 30,37,1,0
2924292,Gate 40,4,0,0
2924382,Gate 40,13,0,0
2924492,Gate 40,27,1,0
2924542,Gate 40,31,1,0
2924719,Gate 30,87,1,1
2925051,Gate 30,25,1,0
2925078,Gate 40,423,1,1
2925115,Gate 40,101,1,0
2925146,Gate 30,59,1,1
2925196,Gate 30,2,0,0
2925336,Gate 40,1,0,0
2925744,Gate 40,0,0,0
2925866,Gate 30,25,1,0
2925896,Gate 30,1,0,0
2925916,Gate 40,19,1,0
2926132,Gate 40,3,0,0
2926162,Gate 30,3,0,0
2926623,Gate 40,5,0,0
2926762,Gate 40,37,0,0
2926813,Gate 40,0,0,0
2926931,Gate 30,16,1,0
2927010,Gate 30,2,0,0
2927052,Gate 30,12,1,0
2927120,Gate 30,111,0,0
2927157,Gate 30,9,0,0
2927165,Gate 40,55,1,0
2927196,Gate 40,2,0,0
2927280,Gate 30,43,1,0
2927376,Gate 40,56,1,1
2927417,Gate 40,88,1,0
2927492,Gate 30,162,1,1
2927587,Gate 30,7,0,0
2927777,Gate 40,17,0,0
2927887,Gate 40,81,0,0
2927903,Gate 40,4,0,0
2928012,Gate 30,10,1,0
2928033,Gate 40,42,0,0
2928108,Gate 30,65,1,0
2928115,Gate 30,74,1,0
2928299,Gate 30,17,0,0
2928321,Gate 30,16,0,0
2928593,Gate 40,9,0,0
2928630,Gate 30,54,0,0
2928638,Gate 40,2,0,0
2928642,Gate 30,16,0,0
2928667,Gate 30,37,0,0
2928676,Gate 40,278,1,1
2928693,Gate 40,25,1,0
2928702,Gate 40,0,0,0
2928738,Gate 40,53,1,0
2928937,Gate 40,74,1,0
2928938,Gate 30,42,1,0
2929231,Gate 40,11,0,0
2929387,Gate 30,673,1,1
2929426,Gate 40,31,1,0
2929459,Gate 40,2,0,0
2929620,Gate 40,22,0,0
2929729,Gate 40,205,1,0
2929770,Gate 40,46,1,0
2929810,Gate 30,17,0,0
2930111,Gate 30,61,1,1
2930202,Gate 40,5,0,0
2930290,Gate 40,1559,1,1
2930324,Gate 40,12,1,0
2930373,Gate 40,29,1,0
2930389,Gate 30,14,1,0
2930514,Gate 40,26,0,0
2930515,Gate 30,6,0,0
2930575,Gate 40,122,1,1
2931185,Gate 40,162,1,1
2931200,Gate 40,40,1,1
2931276,Gate 30,4,0,0
2931427,Gate 30,12,0,0
2931495,Gate 40,62,1,0
2931692,Gate 40,392,1,1
2931720,Gate 30,35,1,0
2931730,Gate 40,1,0,0
2931733,Gate 40,38,0,0
2931843,Gate 40,399,1,1
2931932,Gate 40,12,1,0
2932236,Gate 30,5,0,0
2932268,Gate 30,61,1,0
2932552,Gate 40,10,0,0
2932553,Gate 40,21,0,0
2932567,Gate 40,202,1,1
2932688,Gate 30,12,0,0
2932783,Gate 30,36,0,1
2932829,Gate 40,16,0,0
2932907,Gate 30,15,0,0
2932958,Gate 30,24,1,0
2933119,Gate 40,22,1,0
2933171,Gate 30,174,1,1
2933251,Gate 40,37,0,1
2933257,Gate 40,0,0,0
2933292,Gate 30,45,1,0
2933613,Gate 40,95,1,1
2933625,Gate 30,6,0,0
2933655,Gate 40,58,1,0
2933699,Gate 30,2,0,0
2933845,Gate 40,17,0,0
2933870,Gate 30,43,0,1
2934246,Gate 40,3,1,0
2934405,Gate 40,5,0,0
2934589,Gate 30,859,1,0
2934830,Gate 40,252,1,1
2934895,Gate 40,255,1,0
2935006,Gate 30,358,1,1
2935054,Gate 40,5,0,0
2935261,Gate 30,4,0,0
2935480,Gate 40,18,0,0
2935731,Gate 40,7,1,1
2935754,Gate 30,7,0,0
2935779,Gate 40,33,1,0
2936014,Gate 40,422,1,1
2936089,Gate 30,26,1,0
2936108,Gate 40,15,0,0
2936306,Gate 40,81,1,0
2936458,Gate 40,0,0,0
2936630,Gate 30,207,1,0
2936700,Gate 30,11,0,0
2936790,Gate 30,414,1,1
2937008,Gate 40,8,0,0
2937220,Gate 40,28,0,0
2937286,Gate 40,4,0,0
2937313,Gate 30,41,0,1
2937425,Gate 30,22,0,0
2937660,Gate 40,11,0,0
2937674,Gate 30,146,1,0
2937889,Gate 30,25,1,0
2937952,Gate 40,4,0,0
2937961,Gate 30,8,0,0
2937962,Gate 40,54,1,0
2938002,Gate 30,16,0,0
2938122,Gate 40,21,0,0
2938386,Gate 30,90,1,0
2938420,Gate 30,63,1,0
2938510,Gate 30,63,1,1
2938569,Gate 40,3,0,0
2938623,Gate 30,13,1,0
2938714,Gate 40,11,0,0
2938927,Gate 40,0,0,0
2939179,Gate 40,10,0,0
2939199,Gate 30,60,1,0
2939235,Gate 40,10,0,0
2939830,Gate 30,133,1,1
2939889,Gate 30,13,0,0
2939900,Gate 40,27,1,0
2939960,Gate 30,10,0,0
2940103,Gate 30,26,1,0
2940355,Gate 40,9,1,0
2940444,Gate 30,47,1,0
2940474,Gate 30,14,0,0
2940732,Gate 40,7,0,0
2940764,Gate 40,13,0,0
2940918,Gate 30,74,0,0
2940931,Gate 40,6,0,0
2940976,Gate 40,84,1,0
2941016,Gate 30,8,0,0
2941141,Gate 40,2,0,0
2941223,Gate 40,28,1,1
2941235,Gate 30,12,0,0
2941315,Gate 40,5,0,0
2941418,Gate 40,47,1,0
2941424,Gate 30,131,1,1
2941569,Gate 30,4,0,0
2941605,Gate 40,32,1,0
2941737,Gate 40,5,0,0
2941870,Gate 30,10,0,0
2941946,Gate 40,23,1,0
2942022,Gate 40,67,1,0
2942216,Gate 40,8,1,0
2942276,Gate 30,41,1,0
2942309,Gate 40,22,0,0
2942326,Gate 40,2,1,1
2942443,Gate 30,1,0,0
2942470,Gate 40,20,1,0
2942476,Gate 40,6,0,0
2942720,Gate 30,1,0,0
2942732,Gate 30,2,1,0
2942882,Gate 40,4,1,0
2942923,Gate 30,10,1,0
2943167,Gate 40,2,0,0
2943172,Gate 30,59,1,1
2943200,Gate 40,51,0,0
2943556,Gate 30,34,1,0
2943557,Gate 40,0,0,0
2943608,Gate 30,23,1,0
2944177,Gate 40,30,0,0
2944307,Gate 40,19,0,0
2944408,Gate 40,651,1,1
2944566,Gate 30,41,0,0
2944592,Gate 40,39,1,0
2944634,Gate 40,38,0,0
2944647,Gate 40,59,1,0
2944680,Gate 30,209,1,1
2944699,Gate 40,2,0,0
2944890,Gate 30,1,0,0
2944932,Gate 40,156,1,1
2945237,Gate 30,14,1,0
